SolutionId,SolutionTitle,Organisation,Description,ReleaseDate,Rating,Category
1,Getting Started,Goldman Sachs Financial Cloud,"Learn the basics of our institutional services platform, from registering an application to authentication to your first API call.",12/25/2015 12:00:00 AM,3,Institutional Services
2,Data Services,Goldman Sachs Financial Cloud,"Integrate our data and insights into your tools and processes. Access the same high-quality market, execution, and research data trusted by our market professionals, as well as a variety of unique Goldman Sachs content for use in quantitative and data-driven strategies and analytics.",12/25/2015 12:00:00 AM,5,Institutional Services
3,Portfolio Services,Goldman Sachs Financial Cloud,Programmatically manage your portfolio lifecycle from creation and update to scheduling reports with full control over visibility and sharing. Automate your portfolio workflow using our APIs — leaving you to focus on the alpha driving decisions.,12/25/2015 12:00:00 AM,3,Institutional Services
4,Index Services,Goldman Sachs Financial Cloud,"Access the full range of Goldman Sachs indices and basket products, or create bespoke solutions to tailor your own investment strategies. Design, create, and rebalance fully-customized, ready-to-trade basket solutions to express thematic and risk views.",12/25/2015 12:00:00 AM,5,Institutional Services
5,Hedging Services,Goldman Sachs Financial Cloud,Tailor your portfolio exposures and risks using our hedging and optimization tools. Dynamically manage objectives and constraints while controlling for cost and tradability to meet your investment goals.,12/25/2015 12:00:00 AM,4,Institutional Services
6,Pricing & Risk Services,Goldman Sachs Financial Cloud,Leverage our industry-leading models and risk analytics tools to gain a deeper understanding of your portfolio exposures and risks.,12/25/2015 12:00:00 AM,5,Institutional Services
7,Content Services,Goldman Sachs Financial Cloud,"Leverage insights from across Goldman Sachs with client-focused content on equity, fixed income, currency and commodities markets. Clients can access both historical and real-time fundamental insights and analysis.",12/25/2015 12:00:00 AM,5,Institutional Services
8,TxB APIs,Goldman Sachs Financial Cloud,"TxB APIs enable eligible partners and Clients to embed Goldman Sachs Transaction Banking capabilities into their own ecosystem. TxB APIs are based around three functional domains - creating virtual accounts, originating payments, and tracking balances & transaction activity.",12/25/2015 12:00:00 AM,4,Banking Services
9,Business Line of Credit,Goldman Sachs Financial Cloud,The Marcus Business Line of Credit is a flexible financing option offered through lending partners to U.S. small businesses. The product – a revolving line of credit – is designed to help businesses smooth out working capital volatility that can arise from seasonality of demand and uncertainties in the cash conversion cycle.,12/25/2015 12:00:00 AM,4,Banking Services
10,GS Quant,Goldman Sachs Financial Cloud,"GS Quant is a Python toolkit for quantitative finance, created on top of one of the world’s most powerful risk transfer platforms. Designed to accelerate development of quantitative trading strategies and risk management solutions, crafted over 25 years of experience navigating global markets.",12/25/2015 12:00:00 AM,4,Products and Platforms
11,PlotTool Pro,Goldman Sachs Financial Cloud,"PlotTool gives sophisticated investors unparalleled access to global financial markets. Access a rich set of derivatives data, analytics functions, and bespoke visualizations across asset classes. Understand complex market dynamics, evaluate and share ideas, and backtest trading strategies, all from a single tool.",12/25/2015 12:00:00 AM,5,Products and Platforms
12,Goldman Sachs Design,Goldman Sachs Financial Cloud,"Customized for institutional finance, the Goldman Sachs design system is built for creating rich experiences. From color palettes and iconography to writing styles and pattern libraries, our design system is the source of logic for all of our digital products.",12/25/2015 12:00:00 AM,5,Products and Platforms
